191,Sunkern,Grass,,180,30,30,30,30,30,30,2,False
298,Azurill,Normal,Fairy,190,50,20,40,20,40,20,3,False
401,Kricketot,Bug,,194,37,25,41,25,41,25,4,False
265,Wurmple,Bug,,195,45,45,35,20,30,20,3,False
10,Caterpie,Bug,,195,45,30,35,20,20,45,1,False
13,Weedle,Bug,Poison,195,40,35,30,20,20,50,1,False
280,Ralts,Psychic,Fairy,198,28,25,25,45,35,40,3,False
664,Scatterbug,Bug,,200,38,35,40,27,25,35,6,False
349,Feebas,Water,,200,20,15,20,10,55,80,3,False
129,Magikarp,Water,,200,20,10,55,15,20,80,1,False
